created_at,amount_usd,currency,payment_instrument_type,card_brand,issuing_country,authorized
02-05-2021 11:52:18,14291,USD,PAYPAL,VISA,US,1
04-05-2021 02:16:01,266092,GBP,PAYMENTCARD,MASTERCARD,GB,1
05-16-2021 17:52:58,321276,GBP,PAYMENTCARD,VISA,GB,0
05-12-2021 20:01:52,125434,GBP,PAYPAL,MASTERCARD,US,0
02-14-2021 21:32:01,150681,EUR,PAYMENTCARD,VISA,US,0
03-11-2021 17:08:49,375870,USD,PAYPAL,VISA,US,1
03-15-2021 18:09:10,102037,USD,PAYMENTCARD,VISA,GB,1
02-12-2021 20:55:04,46990,GBP,PAYMENTCARD,MASTERCARD,GB,1
02-20-2021 04:52:55,280190,AUD,PAYMENTCARD,VISA,US,1
05-30-2021 03:58:53,351877,GBP,PAYPAL,MASTERCARD,US,1
01-03-2021 08:20:41,109820,USD,PAYMENTCARD,MASTERCARD,GB,0
01-23-2021 02:48:02,314371,EUR,PAYPAL,VISA,GB,1
04-10-2021 00:11:04,286159,EUR,PAYMENTCARD,VISA,GB,1
01-12-2021 20:46:17,207503,AUD,KLARNA,AMEX,GB,1
02-14-2021 15:16:20,244385,USD,PAYMENTCARD,VISA,GB,1
05-01-2021 08:42:53,35591,SEK,PAYMENTCARD,VISA,US,1
05-19-2021 04:46:22,115616,GBP,PAYPAL,VISA,GB,0
02-26-2021 11:00:01,56903,EUR,PAYPAL,VISA,GB,1
02-01-2021 12:48:30,209268,EUR,PAYMENTCARD,VISA,GB,1
05-14-2021 10:36:20,110049,USD,PAYMENTCARD,MASTERCARD,US,0
04-07-2021 01:51:33,237514,EUR,PAYPAL,MASTERCARD,US,1
03-18-2021 13:18:12,359869,USD,PAYMENTCARD,MASTERCARD,GB,1
02-20-2021 11:43:02,88874,USD,PAYMENTCARD,VISA,US,1
02-22-2021 23:42:07,46991,EUR,KLARNA,VISA,US,1
02-14-2021 16:28:41,125036,EUR,KLARNA,AMEX,GB,0
04-27-2021 03:06:21,1624,GBP,PAYMENTCARD,MASTERCARD,IE,1
03-14-2021 18:28:16,17296,USD,PAYMENTCARD,AMEX,GB,1
01-31-2021 23:14:27,278652,GBP,APPLEPAY,AMEX,GB,1
05-13-2021 03:44:34,348460,GBP,PAYMENTCARD,MASTERCARD,GB,0
04-25-2021 14:04:58,271186,GBP,PAYMENTCARD,VISA,GB,1
05-12-2021 13:14:07,263455,EUR,PAYMENTCARD,MASTERCARD,GB,1
05-22-2021 07:52:47,179773,GBP,PAYMENTCARD,MASTERCARD,US,0
02-07-2021 00:47:53,258698,USD,APPLEPAY,VISA,GB,1
05-16-2021 07:25:09,55121,USD,APPLEPAY,MASTERCARD,GB,1
04-27-2021 05:07:55,379521,EUR,PAYMENTCARD,AMEX,US,1
03-05-2021 03:27:59,286183,EUR,PAYMENTCARD,VISA,GB,1
02-19-2021 09:46:23,133086,GBP,APPLEPAY,VISA,US,1
03-27-2021 06:40:47,44983,EUR,PAYMENTCARD,MASTERCARD,GB,1
03-31-2021 18:40:11,85589,SEK,PAYMENTCARD,VISA,GB,1
01-26-2021 12:58:39,107738,USD,PAYMENTCARD,VISA,US,0
03-15-2021 22:33:47,341857,EUR,PAYMENTCARD,VISA,IE,1
05-24-2021 20:22:36,44510,USD,PAYMENTCARD,VISA,US,1
03-13-2021 05:19:38,296046,CAD,PAYMENTCARD,VISA,GB,0
03-02-2021 10:03:37,50163,EUR,APPLEPAY,AMEX,GB,1
05-20-2021 06:54:26,77783,AUD,PAYMENTCARD,VISA,GB,1
05-30-2021 09:21:44,249335,GBP,PAYMENTCARD,VISA,GB,0
05-23-2021 08:47:42,320844,EUR,PAYMENTCARD,MASTERCARD,IE,1
01-08-2021 17:39:11,375399,EUR,PAYPAL,AMEX,US,1
05-11-2021 11:12:46,178381,GBP,PAYMENTCARD,VISA,GB,1
01-31-2021 21:27:36,267534,GBP,PAYMENTCARD,VISA,GB,1
02-22-2021 09:58:00,255577,USD,PAYMENTCARD,VISA,GB,1
05-14-2021 19:29:13,150389,USD,PAYMENTCARD,VISA,GB,0
01-16-2021 09:37:40,246984,EUR,PAYMENTCARD,VISA,US,1
01-21-2021 15:52:49,66306,EUR,PAYMENTCARD,VISA,GB,1
02-10-2021 22:54:37,262202,GBP,PAYPAL,MASTERCARD,GB,1
02-02-2021 03:24:42,140701,CAD,GOCARDLESS,AMEX,US,1
02-21-2021 23:18:13,4762,EUR,PAYPAL,MASTERCARD,GB,1
04-21-2021 06:31:22,174108,USD,APPLEPAY,MASTERCARD,US,1
04-06-2021 23:02:00,162181,AUD,KLARNA,VISA,GB,1
01-25-2021 12:20:00,149091,GBP,PAYMENTCARD,MASTERCARD,GB,0
04-27-2021 06:03:46,87977,USD,APPLEPAY,VISA,GB,1
05-21-2021 01:18:34,350286,USD,PAYPAL,AMEX,GB,1
03-31-2021 19:32:53,221615,GBP,PAYMENTCARD,MASTERCARD,GB,0
01-26-2021 23:40:28,382949,SEK,APPLEPAY,MASTERCARD,US,1
03-16-2021 07:35:01,245201,EUR,PAYPAL,VISA,US,1
04-20-2021 00:35:48,272744,GBP,PAYMENTCARD,VISA,GB,1
02-03-2021 04:19:09,132780,GBP,PAYPAL,MASTERCARD,IE,1
04-03-2021 23:52:04,197703,EUR,PAYMENTCARD,VISA,GB,1
04-05-2021 05:33:53,382426,GBP,PAYMENTCARD,VISA,US,0
02-06-2021 09:36:10,308750,AUD,PAYPAL,VISA,US,1
01-23-2021 06:44:18,230071,GBP,PAYMENTCARD,VISA,US,1
04-28-2021 03:48:07,277137,EUR,PAYMENTCARD,VISA,US,1
03-22-2021 15:20:33,104090,EUR,PAYMENTCARD,MASTERCARD,US,1
03-08-2021 18:27:13,342605,GBP,PAYMENTCARD,AMEX,GB,1
03-14-2021 16:30:07,31197,USD,APPLEPAY,VISA,GB,1
04-29-2021 22:53:04,251332,GBP,APPLEPAY,AMEX,GB,1
05-07-2021 22:01:37,265125,CAD,PAYMENTCARD,MASTERCARD,GB,1
03-03-2021 20:57:14,270063,USD,PAYMENTCARD,VISA,AU,1
04-28-2021 10:56:43,50479,EUR,PAYMENTCARD,MASTERCARD,GB,1
01-02-2021 00:24:04,311003,USD,PAYMENTCARD,AMEX,GB,1
05-13-2021 21:49:07,358083,SEK,APPLEPAY,MASTERCARD,GB,0
01-06-2021 07:50:43,181746,USD,KLARNA,VISA,US,1
05-29-2021 18:56:42,261531,EUR,KLARNA,MASTERCARD,US,1
05-31-2021 19:44:02,121539,EUR,PAYPAL,AMEX,GB,0
04-03-2021 01:43:05,297820,EUR,PAYPAL,VISA,GB,0
05-15-2021 19:47:56,34109,GBP,PAYMENTCARD,MASTERCARD,GB,0
04-13-2021 16:26:10,238704,GBP,PAYMENTCARD,VISA,GB,1
01-11-2021 21:46:30,358659,AUD,PAYMENTCARD,MASTERCARD,US,1
04-17-2021 07:21:19,271004,GBP,PAYMENTCARD,VISA,GB,1
06-01-2021 10:20:37,126248,USD,PAYMENTCARD,MASTERCARD,GB,1
04-19-2021 23:10:25,51307,EUR,PAYMENTCARD,MASTERCARD,US,1
02-03-2021 13:06:02,51933,USD,KLARNA,VISA,GB,1
03-06-2021 06:21:06,196612,GBP,PAYMENTCARD,VISA,GB,1
05-12-2021 08:21:17,288025,GBP,KLARNA,VISA,GB,1
05-01-2021 12:48:17,84848,EUR,PAYMENTCARD,MASTERCARD,US,1
02-02-2021 20:50:25,60544,EUR,PAYMENTCARD,MASTERCARD,GB,1
05-05-2021 11:18:06,151861,USD,APPLEPAY,VISA,IE,1
02-21-2021 15:40:31,314223,GBP,PAYMENTCARD,VISA,US,1
01-02-2021 21:00:42,267562,EUR,PAYMENTCARD,VISA,GB,1
05-22-2021 14:42:02,79384,GBP,PAYMENTCARD,VISA,US,1
03-30-2021 12:21:22,280022,AUD,PAYMENTCARD,VISA,US,1
04-23-2021 14:11:47,82165,SEK,PAYPAL,VISA,GB,1
01-22-2021 14:44:50,378235,GBP,PAYMENTCARD,VISA,US,1
03-24-2021 20:07:30,160239,EUR,KLARNA,VISA,US,1
05-21-2021 00:10:57,136304,GBP,PAYMENTCARD,VISA,GB,1
01-24-2021 06:15:29,374177,GBP,PAYMENTCARD,AMEX,GB,1
05-28-2021 07:17:34,79187,CAD,PAYPAL,VISA,US,1
04-05-2021 06:11:49,182070,USD,PAYMENTCARD,VISA,GB,1
04-21-2021 01:19:34,133843,USD,KLARNA,MASTERCARD,GB,1
04-15-2021 23:46:57,124339,USD,PAYMENTCARD,VISA,GB,1
04-26-2021 22:04:29,219954,EUR,APPLEPAY,MASTERCARD,IE,0
01-31-2021 03:33:34,99575,GBP,PAYMENTCARD,MASTERCARD,GB,1
04-02-2021 13:51:32,59516,GBP,PAYMENTCARD,AMEX,GB,1
02-06-2021 03:59:40,292953,AUD,PAYMENTCARD,VISA,US,1
01-17-2021 20:53:02,145957,GBP,PAYMENTCARD,VISA,IE,0
02-17-2021 18:31:36,6663,EUR,PAYPAL,AMEX,GB,1
05-18-2021 22:42:05,233840,EUR,PAYMENTCARD,VISA,GB,0
05-23-2021 14:26:54,271437,GBP,PAYPAL,MASTERCARD,US,1
03-15-2021 19:33:49,56912,GBP,PAYMENTCARD,MASTERCARD,US,1
04-04-2021 15:38:32,365115,EUR,KLARNA,VISA,GB,0
01-28-2021 21:31:30,211125,GBP,PAYMENTCARD,VISA,GB,1
02-14-2021 08:38:56,59733,AUD,PAYMENTCARD,VISA,GB,1
04-09-2021 01:33:54,363227,GBP,APPLEPAY,MASTERCARD,GB,1
02-13-2021 13:50:12,77114,EUR,PAYMENTCARD,AMEX,GB,1
04-27-2021 01:45:55,157428,GBP,PAYMENTCARD,VISA,GB,1
05-06-2021 01:41:52,301458,USD,APPLEPAY,MASTERCARD,GB,1
03-10-2021 11:31:39,72413,AUD,PAYMENTCARD,VISA,GB,1
03-03-2021 17:14:51,192242,GBP,PAYMENTCARD,VISA,US,1
01-27-2021 03:42:01,208176,USD,PAYMENTCARD,VISA,IE,1
02-04-2021 16:15:06,187859,USD,PAYMENTCARD,MASTERCARD,GB,0
05-06-2021 05:59:51,344366,USD,KLARNA,VISA,GB,0
02-09-2021 19:59:49,73696,GBP,PAYMENTCARD,MASTERCARD,GB,0
01-12-2021 23:36:23,325701,GBP,PAYMENTCARD,AMEX,GB,1
04-22-2021 22:32:45,25836,EUR,PAYMENTCARD,VISA,US,1
05-03-2021 03:03:35,20460,GBP,PAYMENTCARD,VISA,GB,1
05-10-2021 21:08:42,239520,GBP,PAYMENTCARD,VISA,GB,1
04-25-2021 13:42:24,256005,GBP,PAYMENTCARD,VISA,GB,1
01-23-2021 10:59:19,185623,USD,PAYMENTCARD,VISA,US,0
03-14-2021 19:27:54,174986,USD,PAYMENTCARD,MASTERCARD,GB,0
03-08-2021 18:57:19,129134,USD,PAYPAL,MASTERCARD,US,1
03-19-2021 04:28:31,43959,CAD,PAYMENTCARD,MASTERCARD,GB,1
04-17-2021 21:29:43,263062,EUR,PAYPAL,VISA,US,1
04-15-2021 11:53:22,191800,AUD,PAYMENTCARD,MASTERCARD,US,1
04-18-2021 03:12:03,251711,USD,PAYMENTCARD,VISA,GB,1
05-24-2021 04:06:45,368348,USD,PAYMENTCARD,VISA,GB,1
05-02-2021 22:19:01,203243,GBP,PAYMENTCARD,VISA,US,1
04-28-2021 10:33:33,138560,CAD,PAYMENTCARD,AMEX,GB,1
03-06-2021 15:25:12,274972,GBP,GOCARDLESS,MASTERCARD,GB,1
05-07-2021 09:35:11,62406,EUR,PAYPAL,MASTERCARD,GB,1
05-27-2021 11:13:43,194163,GBP,PAYMENTCARD,VISA,GB,1
04-14-2021 06:48:59,323260,USD,PAYMENTCARD,MASTERCARD,GB,1
01-14-2021 20:46:20,165350,USD,PAYMENTCARD,VISA,GB,0
04-11-2021 15:07:17,195075,EUR,PAYPAL,MASTERCARD,US,1
03-20-2021 10:12:30,114848,GBP,PAYPAL,VISA,GB,1
02-02-2021 20:41:59,116491,USD,PAYMENTCARD,VISA,GB,1
02-26-2021 22:30:27,3060,GBP,PAYMENTCARD,AMEX,GB,1
04-29-2021 05:07:02,94111,USD,PAYMENTCARD,MASTERCARD,GB,1
04-12-2021 03:10:34,270035,USD,PAYMENTCARD,MASTERCARD,GB,1
03-04-2021 11:58:07,341837,EUR,PAYPAL,VISA,GB,1
04-16-2021 16:40:09,11005,USD,KLARNA,VISA,US,1
04-23-2021 11:17:48,194712,GBP,PAYMENTCARD,VISA,GB,0
03-10-2021 01:09:07,341942,EUR,PAYMENTCARD,MASTERCARD,GB,1
05-17-2021 12:09:23,118122,EUR,PAYMENTCARD,MASTERCARD,US,1
03-10-2021 04:04:46,13837,GBP,PAYMENTCARD,MASTERCARD,US,1
01-30-2021 02:01:03,377186,EUR,PAYMENTCARD,VISA,AU,1
05-12-2021 05:05:19,27098,EUR,PAYPAL,MASTERCARD,GB,1
04-24-2021 22:16:20,185414,AUD,PAYPAL,MASTERCARD,US,1
04-19-2021 03:17:45,6122,EUR,PAYMENTCARD,VISA,GB,1
05-02-2021 16:40:42,300801,AUD,PAYMENTCARD,VISA,GB,1
05-04-2021 20:12:23,240421,USD,PAYPAL,MASTERCARD,AU,1
01-10-2021 13:13:10,252233,EUR,PAYMENTCARD,VISA,GB,1
02-10-2021 11:26:27,101850,USD,PAYMENTCARD,VISA,GB,1
04-26-2021 08:58:59,31239,EUR,PAYMENTCARD,MASTERCARD,GB,1
01-06-2021 01:27:31,336672,USD,APPLEPAY,VISA,GB,1
04-25-2021 03:03:56,284895,GBP,PAYPAL,VISA,GB,1
02-05-2021 20:33:13,121789,EUR,PAYPAL,VISA,US,1
05-29-2021 01:31:05,37124,SEK,PAYMENTCARD,VISA,US,1
03-18-2021 02:40:10,168629,USD,PAYPAL,MASTERCARD,GB,0
05-28-2021 16:59:25,96821,CAD,PAYMENTCARD,MASTERCARD,US,1
02-15-2021 00:27:36,266222,EUR,PAYPAL,VISA,GB,1
05-27-2021 09:13:58,220502,GBP,PAYMENTCARD,MASTERCARD,GB,1
02-17-2021 15:55:59,38731,GBP,PAYMENTCARD,AMEX,GB,1
01-13-2021 00:08:25,154911,GBP,PAYMENTCARD,VISA,IE,1
03-17-2021 03:07:48,350822,EUR,PAYMENTCARD,VISA,GB,1
03-08-2021 09:49:08,189420,USD,PAYMENTCARD,VISA,IE,0
02-24-2021 20:07:34,78459,USD,PAYMENTCARD,VISA,GB,1
01-20-2021 12:42:58,362210,USD,PAYPAL,VISA,US,1
05-14-2021 00:24:12,68964,GBP,PAYPAL,VISA,US,1
02-01-2021 21:24:15,7724,AUD,PAYMENTCARD,AMEX,GB,1
03-06-2021 17:07:07,278605,CAD,PAYMENTCARD,VISA,GB,1
03-05-2021 06:53:17,328351,GBP,PAYPAL,VISA,GB,0
01-08-2021 03:49:34,223099,USD,PAYPAL,MASTERCARD,GB,1
04-10-2021 20:42:20,309477,GBP,PAYMENTCARD,AMEX,GB,1
02-03-2021 21:56:59,236571,GBP,PAYMENTCARD,VISA,GB,0
02-23-2021 07:29:03,183630,EUR,PAYMENTCARD,VISA,GB,1
03-24-2021 06:43:04,121549,AUD,PAYMENTCARD,VISA,GB,1
03-08-2021 04:15:25,151338,USD,PAYMENTCARD,VISA,AU,1
03-19-2021 04:37:35,96892,EUR,GOCARDLESS,VISA,US,1
05-31-2021 07:56:32,109337,USD,PAYMENTCARD,VISA,GB,0
03-16-2021 16:02:35,382041,EUR,PAYMENTCARD,VISA,US,1
05-25-2021 22:45:49,257859,GBP,PAYMENTCARD,MASTERCARD,GB,0
05-10-2021 07:41:35,301878,EUR,PAYMENTCARD,MASTERCARD,US,0
04-07-2021 03:27:52,20606,SEK,PAYPAL,MASTERCARD,GB,1
01-19-2021 04:37:24,286743,EUR,GOCARDLESS,MASTERCARD,GB,0
03-11-2021 20:43:21,101333,EUR,PAYMENTCARD,VISA,US,1
04-10-2021 19:48:17,362122,GBP,PAYPAL,VISA,US,1
04-14-2021 15:12:57,146238,GBP,PAYMENTCARD,VISA,GB,1
01-15-2021 06:49:18,98591,GBP,KLARNA,MASTERCARD,GB,1
03-09-2021 18:02:56,310784,USD,PAYPAL,VISA,IE,1
03-16-2021 04:09:03,332558,GBP,PAYPAL,AMEX,GB,0
01-06-2021 01:38:12,263771,GBP,KLARNA,VISA,US,0
03-16-2021 04:27:12,225138,USD,PAYMENTCARD,VISA,US,1
05-19-2021 05:37:34,233194,EUR,PAYMENTCARD,MASTERCARD,GB,1
01-25-2021 14:52:45,360090,EUR,PAYMENTCARD,VISA,US,0
02-28-2021 09:28:58,121286,EUR,APPLEPAY,VISA,GB,1
02-03-2021 20:26:02,277490,USD,PAYMENTCARD,VISA,GB,1
03-20-2021 11:04:43,327752,USD,PAYMENTCARD,VISA,GB,0
04-19-2021 13:57:12,97469,USD,PAYMENTCARD,MASTERCARD,GB,1
04-12-2021 14:46:29,229125,EUR,PAYMENTCARD,VISA,GB,0
01-21-2021 07:52:57,266529,CAD,PAYMENTCARD,VISA,GB,1
04-19-2021 21:51:19,346441,AUD,PAYPAL,VISA,IE,1
04-08-2021 14:39:30,237879,EUR,PAYMENTCARD,MASTERCARD,US,0
05-23-2021 20:46:22,128675,AUD,PAYMENTCARD,VISA,AU,0
04-08-2021 01:28:57,156099,GBP,PAYPAL,MASTERCARD,GB,1
01-15-2021 21:24:55,245656,GBP,PAYPAL,VISA,GB,1
04-15-2021 11:11:21,349743,GBP,PAYMENTCARD,MASTERCARD,US,1
02-21-2021 04:28:12,25197,GBP,PAYMENTCARD,MASTERCARD,GB,1
01-08-2021 00:43:06,59380,GBP,PAYMENTCARD,VISA,IE,1
04-28-2021 16:39:45,189891,EUR,PAYPAL,AMEX,GB,1
03-26-2021 01:24:46,107427,USD,PAYPAL,AMEX,GB,1
03-08-2021 06:29:06,199935,USD,PAYMENTCARD,VISA,GB,1
03-27-2021 05:20:44,341061,GBP,PAYMENTCARD,VISA,GB,1
03-11-2021 07:36:11,260525,GBP,APPLEPAY,VISA,GB,1
04-28-2021 18:04:47,325166,GBP,PAYMENTCARD,AMEX,GB,1
05-30-2021 09:03:02,259121,CAD,PAYPAL,MASTERCARD,GB,1
02-22-2021 13:36:32,94707,EUR,PAYMENTCARD,MASTERCARD,GB,1
04-21-2021 03:41:48,298633,USD,PAYMENTCARD,AMEX,GB,1
05-18-2021 05:10:23,374333,AUD,PAYMENTCARD,VISA,GB,1
02-27-2021 08:55:39,90424,USD,PAYMENTCARD,MASTERCARD,US,0
05-18-2021 08:33:21,340361,USD,PAYMENTCARD,VISA,GB,1
04-05-2021 20:41:38,144817,EUR,PAYMENTCARD,MASTERCARD,GB,1
02-17-2021 19:57:16,232764,EUR,PAYPAL,VISA,GB,1
01-24-2021 12:08:20,195247,AUD,PAYMENTCARD,VISA,GB,1
01-06-2021 14:42:01,6727,CAD,PAYMENTCARD,MASTERCARD,GB,1
02-24-2021 00:02:11,137110,USD,PAYMENTCARD,VISA,US,1
02-24-2021 14:59:16,272329,CAD,PAYMENTCARD,VISA,GB,1
04-10-2021 05:00:36,272692,EUR,PAYMENTCARD,MASTERCARD,US,1
03-28-2021 12:20:50,329439,GBP,APPLEPAY,AMEX,GB,1
04-08-2021 21:31:13,343889,GBP,PAYMENTCARD,MASTERCARD,US,1
04-07-2021 02:02:36,117349,AUD,GOCARDLESS,MASTERCARD,GB,1
04-06-2021 07:13:01,377231,EUR,APPLEPAY,AMEX,GB,1
05-30-2021 15:07:57,92657,USD,PAYMENTCARD,VISA,US,1
03-14-2021 13:58:49,152637,SEK,PAYMENTCARD,VISA,US,1
01-10-2021 03:42:26,139431,USD,KLARNA,MASTERCARD,IE,0
01-29-2021 00:43:22,27336,EUR,PAYMENTCARD,VISA,IE,1
02-04-2021 03:27:54,260821,USD,PAYMENTCARD,VISA,GB,1
04-22-2021 02:12:00,39156,EUR,KLARNA,VISA,GB,1
02-12-2021 21:01:12,7559,USD,PAYPAL,VISA,IE,1
05-31-2021 18:44:22,245456,EUR,PAYMENTCARD,MASTERCARD,US,1
04-27-2021 06:41:02,129092,EUR,PAYMENTCARD,VISA,US,0
05-04-2021 07:40:00,299595,GBP,PAYMENTCARD,VISA,US,1
03-07-2021 20:35:48,123511,SEK,PAYPAL,VISA,GB,1
03-27-2021 00:36:47,96601,GBP,PAYMENTCARD,VISA,GB,1
04-03-2021 12:23:44,192632,USD,PAYPAL,MASTERCARD,GB,1
05-10-2021 22:31:23,84386,EUR,PAYMENTCARD,VISA,GB,0
02-11-2021 00:05:11,244110,EUR,PAYMENTCARD,AMEX,GB,1
03-31-2021 20:16:20,295721,SEK,PAYMENTCARD,MASTERCARD,US,1
04-04-2021 23:34:19,40045,USD,KLARNA,MASTERCARD,GB,1
05-31-2021 23:36:30,333426,CAD,PAYMENTCARD,MASTERCARD,GB,1
04-18-2021 14:35:00,22846,GBP,PAYMENTCARD,VISA,GB,1
05-03-2021 10:48:47,329777,GBP,PAYPAL,VISA,GB,1
04-30-2021 16:37:44,263868,USD,PAYMENTCARD,VISA,US,1
02-26-2021 12:56:51,81253,USD,PAYPAL,AMEX,US,1
04-22-2021 22:10:27,156642,CAD,PAYMENTCARD,MASTERCARD,GB,1
03-29-2021 18:06:35,320282,USD,KLARNA,AMEX,US,1
02-26-2021 02:04:06,179366,USD,KLARNA,VISA,GB,1
03-20-2021 20:08:26,198684,USD,PAYMENTCARD,VISA,GB,1
05-27-2021 00:02:04,383413,EUR,PAYMENTCARD,MASTERCARD,US,1
04-26-2021 11:23:43,8647,SEK,PAYMENTCARD,VISA,GB,1
03-21-2021 21:41:56,179406,GBP,PAYMENTCARD,VISA,GB,1
05-06-2021 08:39:29,219972,USD,PAYPAL,VISA,GB,1
02-17-2021 03:59:21,76425,GBP,PAYMENTCARD,VISA,US,1
01-27-2021 23:15:48,358307,SEK,PAYMENTCARD,VISA,IE,0
05-16-2021 12:19:33,29787,GBP,PAYMENTCARD,MASTERCARD,GB,0
05-17-2021 19:38:40,19557,GBP,PAYPAL,VISA,GB,1
05-10-2021 07:18:10,288698,USD,PAYMENTCARD,MASTERCARD,IE,1
03-04-2021 11:33:55,12253,EUR,PAYMENTCARD,AMEX,US,1
05-08-2021 10:56:31,180628,EUR,PAYMENTCARD,MASTERCARD,GB,1
03-20-2021 01:50:02,102331,GBP,PAYMENTCARD,VISA,GB,1
05-30-2021 18:19:56,109614,EUR,PAYMENTCARD,AMEX,GB,0
05-17-2021 12:32:13,369370,EUR,PAYMENTCARD,VISA,GB,1
04-30-2021 07:19:32,294206,GBP,PAYMENTCARD,VISA,GB,1
01-16-2021 06:29:05,50812,USD,PAYMENTCARD,VISA,GB,1
02-21-2021 10:55:06,277464,USD,PAYPAL,VISA,GB,0
01-31-2021 00:21:00,48930,GBP,PAYMENTCARD,VISA,US,1
02-22-2021 06:46:28,6514,GBP,PAYMENTCARD,VISA,US,1
02-04-2021 22:31:50,214567,GBP,PAYPAL,VISA,GB,1
03-17-2021 08:17:31,86071,USD,PAYMENTCARD,MASTERCARD,GB,1
03-15-2021 14:24:03,99929,GBP,PAYMENTCARD,VISA,US,1
03-29-2021 16:27:03,39680,GBP,PAYMENTCARD,VISA,GB,1
01-30-2021 15:39:15,131598,GBP,PAYMENTCARD,VISA,US,0
05-29-2021 01:28:56,303471,EUR,PAYPAL,VISA,US,1
03-26-2021 13:35:29,291223,GBP,PAYMENTCARD,VISA,GB,1
03-20-2021 07:59:00,219945,SEK,GOCARDLESS,MASTERCARD,US,1
01-29-2021 00:54:14,294093,GBP,GOCARDLESS,VISA,GB,1
01-30-2021 21:49:51,241084,CAD,PAYPAL,VISA,GB,1
05-10-2021 17:52:11,27584,USD,PAYMENTCARD,VISA,GB,1
04-26-2021 10:52:41,141267,GBP,APPLEPAY,VISA,US,1
05-04-2021 21:32:11,328121,GBP,PAYMENTCARD,VISA,US,1
01-15-2021 23:15:12,211068,USD,PAYMENTCARD,VISA,GB,1
01-18-2021 18:52:36,57047,CAD,PAYMENTCARD,MASTERCARD,GB,1
05-01-2021 01:24:09,298611,EUR,PAYPAL,MASTERCARD,GB,1
05-05-2021 03:35:12,112890,CAD,PAYMENTCARD,MASTERCARD,GB,1
01-30-2021 06:04:00,301985,SEK,PAYPAL,VISA,GB,1
04-14-2021 08:42:05,296650,GBP,PAYMENTCARD,VISA,GB,1
01-16-2021 21:29:58,220191,GBP,APPLEPAY,AMEX,GB,0
